component,explained_variance_ratio,cumulative_explained_variance_ratio
454,7.823164280042425e-05,0.9891278724391084
455,7.777236049772007e-05,0.9892056447996062
456,7.719553248837542e-05,0.9892828403320946
457,7.671536536791963e-05,0.9893595556974625
458,7.609296803963138e-05,0.9894356486655022
459,7.595366768568655e-05,0.9895116023331878
460,7.542643587219559e-05,0.98958702876906
461,7.474634177632934e-05,0.9896617751108363
462,7.420292891252015e-05,0.9897359780397488
463,7.392590572803067e-05,0.9898099039454769
464,7.360204562762363e-05,0.9898835059911045
465,7.326046330072751e-05,0.9899567664544052
466,7.296326303253785e-05,0.9900297297174377
467,7.236231850896066e-05,0.9901020920359467
468,7.207783764884985e-05,0.9901741698735955
469,7.173336413962482e-05,0.9902459032377351
470,7.126893116435444e-05,0.9903171721688995
471,7.107341420562205e-05,0.9903882455831051
472,7.037997408714124e-05,0.9904586255571922
473,6.942838668207927e-05,0.9905280539438743
474,6.923010313877207e-05,0.9905972840470131
475,6.890234446008331e-05,0.9906661863914732
476,6.875808127761487e-05,0.9907349444727508
477,6.833281609465401e-05,0.9908032772888454
478,6.773692128462503e-05,0.99087101421013
479,6.745890674696915e-05,0.990938473116877
480,6.718442800747127e-05,0.9910056575448845
481,6.692670141208002e-05,0.9910725842462965
482,6.673398688594388e-05,0.9911393182331825
483,6.650601015223702e-05,0.9912058242433347
484,6.622833314747889e-05,0.9912720525764822
485,6.568389332230244e-05,0.9913377364698045
486,6.521666175221395e-05,0.9914029531315567
487,6.474110568619072e-05,0.9914676942372429
488,6.463724515708247e-05,0.9915323314823999
489,6.434124383876134e-05,0.9915966727262387
490,6.369884757755843e-05,0.9916603715738163
491,6.348040644367693e-05,0.9917238519802599
492,6.324508281343503e-05,0.9917870970630733
493,6.236027338426155e-05,0.9918494573364576
494,6.208531096071258e-05,0.9919115426474183
495,6.194194858691447e-05,0.9919734845960052
496,6.166329332789168e-05,0.9920351478893331
497,6.140349267175003e-05,0.9920965513820048
498,6.0945258689007715e-05,0.9921574966406939
499,6.052796478481811e-05,0.9922180246054787
500,6.022062280454688e-05,0.9922782452282832
501,5.9744730455720124e-05,0.9923379899587389
502,5.959109775077041e-05,0.9923975810564897
503,5.9374309727931404e-05,0.9924569553662176
504,5.885211218939287e-05,0.992515807478407
505,5.878441702450033e-05,0.9925745918954314
506,5.84399707108414e-05,0.9926330318661423
507,5.787641015463092e-05,0.9926909082762969
508,5.741371402560169e-05,0.9927483219903225
509,5.7095658979913085e-05,0.9928054176493024
510,5.6906303330686713e-05,0.9928623239526331
511,5.655060317645366e-05,0.9929188745558095
512,5.6364569639085e-05,0.9929752391254486
513,5.60647557577631e-05,0.9930313038812064
514,5.521693303640047e-05,0.9930865208142429
515,5.506940866983273e-05,0.9931415902229127
516,5.4657974919655234e-05,0.9931962481978324
517,5.446483284628102e-05,0.9932507130306787
518,5.4260179722369344e-05,0.993304973210401
519,5.397094791658521e-05,0.9933589441583176
520,5.3892472070464084e-05,0.993412836630388
521,5.340660373909125e-05,0.9934662432341271
522,5.320607345352092e-05,0.9935194493075806
523,5.2601004802549234e-05,0.9935720503123832
524,5.2449128071094405e-05,0.9936244994404543
525,5.214572117100285e-05,0.9936766451616252
526,5.179643378092872e-05,0.9937284415954062
527,5.169399223138761e-05,0.9937801355876376
528,5.127226474459519e-05,0.9938314078523821
529,5.087675554471226e-05,0.9938822846079268
530,5.072647869264908e-05,0.9939330110866195
531,5.048870648858414e-05,0.9939834997931081
532,5.007984839241784e-05,0.9940335796415005
533,4.9800080174596025e-05,0.9940833797216752
534,4.9248664664968294e-05,0.9941326283863401
535,4.9027046828385194e-05,0.9941816554331685
536,4.876154140746511e-05,0.9942304169745759
537,4.846293055771849e-05,0.9942788799051336
538,4.8198133123327325e-05,0.9943270780382569
539,4.778921976181509e-05,0.9943748672580187
540,4.738645408978276e-05,0.9944222537121085
541,4.7292930986493545e-05,0.994469546643095
542,4.692348244496721e-05,0.9945164701255399
543,4.672521992227565e-05,0.9945631953454622
544,4.658314316908614e-05,0.9946097784886313
545,4.650004913720768e-05,0.9946562785377685
546,4.6065790852181364e-05,0.9947023443286207
547,4.5856396531798454e-05,0.9947482007251525
548,4.554507253715474e-05,0.9947937457976896
549,4.522262218030059e-05,0.99483896841987
550,4.4899995410340686e-05,0.9948838684152803
551,4.480786667057664e-05,0.9949286762819509
552,4.452522267222306e-05,0.9949732015046231
